,0
ClgPct,
HtgPct,
OccCmd,
RmTemp,0.3434224524739201
UnoccClgSp,
UnoccHtgSp,
AirFlow,
BldgStaticPres,
BldgStaticPresSp,
ClgStgCmd01,
ClgStgCmd02,
DmprPos,
DschAirTemp,
EconEna,
EconEnaSp,
EffAirflowSp,
EffOcc,
EffRmSp,
EffSp,
EffSuplAirTempSp,
ExhAirDmprFbk,
ExhFanSpd,
ExhFanStatus,
FltAlm,
HtgAlm,
HtgStgCmd01,
HtgStgCmd02,
OccClgSp,
OccHtgSp,
OccStatus,
OutAirDmprFbk,
OutAirFlow,
OutAirTemp,
RmCo2,
RmSp,
StbyClgSp,
StbyHtgSp,
SuplAirHtgSp,
SuplAirStaticPres,
SuplAirTemp,
SuplAirTempAlm,
SuplAirTempSp,
SuplFanAlm,
SuplFanCmd,
SuplFanSpd,
SuplFanState,
SuplFanStatus,
Unnamed: 0,
oppMode,
